Supplier Portal Key,Parent Supplier Key,T2 Supplier Name,Original T2 Value,Testing Master File,Article #,Material Name,Material Type,Material Sub Type,Material Composition,VALO Styles,PO #,RSL Report #,Report Date,Valid Until,Compliance Status,SGS SMART,SGS Applicant,SGS Manufacturer,Selected Color,Overall Conclusion,Mapping Status,Mapping Method,Mapping Confidence,Notes,Selected Package Type,Selection Rule,Selection Reason,Supplier Instruction
ADVANCE SICO,ADVANCE SICO,ADVANCE SICO,Advance SICO-Vietnam,FA26 INTERNATIONAL TESTING MASTER - Advance SICO.xlsx,A190-1,Lightweight Dual Core - F0471,Fabric,woven,59% Cotton 32% Lyocell 7% Polyester 2% Elastane,V3142; V4037; V403730; V4125,PO-00033504; PO-00033517; PO-00033518; PO-00030440; PO-00030540; PO-00030744; PO-00030858; PO-00030916; PO-00031449; PO-00031455; PO-00031473; PO-00031699; PO-00031711; PO-00031885; PO-00031982; PO-00032014; PO-00032025; PO-00032078; PO-00032158; PO-00032402; PO-00032403; PO-00033818; PO-00033819; PO-00033964; PO-00034024; PO-00035821; PO-00036264; PO-00037352; PO-00037357; PO-00038905; PO-00039317; PO-00039341; PO-00039358,SL92609272178201TX,1/29/2026,1/29/2027,Valid,TRF6A033383,ADVANCE DENIM CO LTD,广东前进牛仔布有限公司,natural white,Pass,Mapped,A - Exact Article,High,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 1 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-China,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,AS-2406-058,Sander Melange Heather - F0340,Fabric,woven,59% Polyester (Recycled) 35% Viscose 6% Elastane,VW4368; VW4368L; VW4368S,PO-00033029; PO-00033033; PO-00033035; PO-00033039; PO-00033056; PO-00033061; PO-00033070; PO-00033073; PO-00033083; PO-00033091; PO-00034265; PO-00034266; PO-00034531; PO-00035697; PO-00035879; PO-00039647; PO-00040387,SL12600281097301TX,3/2/2026,3/2/2027,Valid,TRF6B023333,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,Black,Pass,Mapped,A - Exact Article,High,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 2 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-China,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,AS-2407-024,Sander Solid  - F0341,Fabric,woven,59% Polyester (Recycled) 35% Viscose 6% Elastane,VW4368; VW4368L; VW4368S,PO-00030745; PO-00030931; PO-00030995; PO-00031283; PO-00031329; PO-00031684; PO-00032154; PO-00032182; PO-00032463; PO-00032645; PO-00033029; PO-00033033; PO-00033035; PO-00033039; PO-00033053; PO-00033056; PO-00033061; PO-00033073; PO-00033091; PO-00034179; PO-00034265; PO-00034989; PO-00035697; PO-00035878; PO-00035879; PO-00037325; PO-00037397; PO-00039647; PO-00040387,SL12600281097301TX,3/2/2026,3/2/2027,Valid,TRF6B023333,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,Black,Pass,Mapped,A - Exact Article,High,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 2 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-CN,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,AS-2504-039 (PD2310-002),Keno's Ripstop Solid - F0692,Fabric,woven,97% Cotton (Organic) 3% Elastane,V415630,PO-00039444; PO-00039532; PO-00039837; PO-00040685; PO-00040715; PO-00040766; PO-00040846,SL12600334376401TX,7/24/2026,7/24/2027,Valid,TRF6G010952,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,Dark Salt,Pass,Mapped,B - Style + T2,Medium,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 1 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-China,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,AS-2506-041,Coastal Poplin Solid  - F0402,Fabric,woven,59% Lyocell 41% Cotton,VW4566,PO-00033636,SL12600302452701TX,5/7/2026,5/7/2027,Valid,TRF6D050130,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,Atmosphere,Pass,Mapped,A - Exact Article,High,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 1 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-China,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,HME2502-002,Conway Lightweight - Flint Plaid Solid - F0774,Fabric,woven,63% Polyester 34% Viscose 3% Elastane,V1152,PO-00030428; PO-00030773; PO-00030908; PO-00031722; PO-00031970; PO-00032408; PO-00032483; PO-00034206; PO-00034207; PO-00034209; PO-00034210; PO-00034659; PO-00034681; PO-00034682; PO-00034685; PO-00035186; PO-00035187; PO-00035621; PO-00035622; PO-00036103; PO-00036104; PO-00036105; PO-00036238; PO-00036239,SL12600270569401TX,2/3/2026,2/3/2027,Valid,TRF6A042990,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,BLACK FLINT PLAID,Pass,Mapped,B - Style + T2,Medium,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 3 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-China,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,HME2502-004,Conway Lightweight - Flint Plaid Heather - F0647,Fabric,woven,63% Polyester 34% Viscose 3% Elastane,V1152,PO-00030773; PO-00030908; PO-00031722; PO-00031970; PO-00032408; PO-00032483; PO-00034206; PO-00034659; PO-00034681; PO-00035186; PO-00035621; PO-00036103,SL12600270569401TX,2/3/2026,2/3/2027,Valid,TRF6A042990,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,BLACK FLINT PLAID,Pass,Mapped,B - Style + T2,Medium,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 3 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-China,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,PD1508-002,Rails Solid - F0012,Fabric,woven,62% Cotton (Organic) 25% Lyocell 11% Polyester 2% Elastane,V4015; V4015S,PO-00031481; PO-00031741; PO-00031819; PO-00031976; PO-00034314; PO-00034935; PO-00035129,SL12500367192101TX,11/14/2025,11/14/2026,Valid,TRF5J044530,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,OCEAN BLUE,Pass,Mapped,A - Exact Article,High,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 4 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-China,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,RP2107-002,Trestles Rose Twill Solid - F0008,Fabric,woven,86% Lyocell 14% Linen,VW1150; VW1622; VW3239; VW3255; VW4196; VW4196S,PO-00030741; PO-00030805; PO-00030888; PO-00030939; PO-00031206; PO-00031285; PO-00031353; PO-00031526; PO-00031621; PO-00031742; PO-00032134; PO-00032206; PO-00032247; PO-00032470; PO-00030402; PO-00030657; PO-00030661; PO-00030843; PO-00031056; PO-00031346; PO-00031553; PO-00031643; PO-00032077; PO-00032167; PO-00032305; PO-00032722; PO-00033252,SL12600270071301TX,1/14/2026,1/14/2027,Valid,TRF5L062083,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,(A) Black,Pass,Mapped,A - Exact Article,High,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 10 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,Select 3 darkest colors for composite testing
ANITA,ANITA,ANITA,Anita-China,SP27 INTERNATIONAL TESTING MASTER - Anita.xlsx,RP2201-003,9W Cord Solid - F0035,Fabric,woven,99% Cotton 1% Elastane,V5106,PO-00034229; PO-00035227; PO-00035323; PO-00035362,SL12500281244801TX,3/14/2025,3/14/2026,Expired,TRF5C004166,ANITA'S TEXTILES LTD.,ANITA'S TEXTILES LTD.,Dark Pewter,Pass,Mapped,A - Exact Article,High,Selected by: eligible mapping; Pass/issued preferred; darkest color preferred; newest report used as later tie-breaker. Source: Article RSL Master; 2 candidate report(s).,,Pass + Report Issued; darkest applicable color; latest date as tie-breaker,Existing selected report retained; one report per Supplier + Article,RSL report expired
