Supplier Portal Key,T2 Supplier Name,Original T2 Values,Article Count,Mapped Article Count,Unmapped Article Count,Supplier Detail URL,Connection Status,Supplier Status,ALL Folder Evidence,Parent Workspace Rule
ADVANCE SICO,ADVANCE SICO,Advance SICO-Vietnam,1,1,0,supplier-detail.html?supplier=ADVANCE%20SICO,Connected via Parent Supplier Crosswalk,Active,Verified in ALL inventory,One parent supplier = one workspace
UNIFIELD,UNIFIELD,Unifield - 2027 | Unifield China | Unifield-CN | Unifield-China | Unifield-Quote | Unifield-Unifield China,21,21,0,supplier-detail.html?supplier=UNIFIELD,Connected via Parent Supplier Crosswalk,Active,Verified in ALL inventory,One parent supplier = one workspace
ALPINE / PARADISE,ALPINE / PARADISE,Alpine / Paradise,0,0,0,supplier-detail.html?supplier=ALPINE%20%2F%20PARADISE,Active - no Fabric Records yet,Active,Pending ALL source verification,One parent supplier = one workspace
ANITA,ANITA,Anita-CN | Anita-China,9,9,0,supplier-detail.html?supplier=ANITA,Connected via Parent Supplier Crosswalk,Active,Verified in ALL inventory,One parent supplier = one workspace
ARCH,ARCH,Arch,0,0,0,supplier-detail.html?supplier=ARCH,Active - testing master available,Active,Verified in ALL inventory,One parent supplier = one workspace
ARTISTIC MILLINERS,ARTISTIC MILLINERS,Artistic Milliners-Pakistan,5,0,5,supplier-detail.html?supplier=ARTISTIC%20MILLINERS,Connected via Parent Supplier Crosswalk,Active,Verified in ALL inventory,One parent supplier = one workspace
ASI,ASI,ASI,0,0,0,supplier-detail.html?supplier=ASI,Active - testing master available,Active,Verified in ALL inventory,One parent supplier = one workspace
ASMARA,ASMARA,Asmara-Vietnam | Asmara International Limited - Vietnam-PPJ | Asmara International Limited - Vietnam-Sinnika,3,0,3,supplier-detail.html?supplier=ASMARA,Connected via Parent Supplier Crosswalk,Active,Verified in ALL inventory,One parent supplier = one workspace
BEST PACIFIC,BEST PACIFIC,Best Pacific-CN | Best Pacific-CN SP27 | Best Pacific-China | Best Pacific-Quote,5,5,0,supplier-detail.html?supplier=BEST%20PACIFIC,Connected via Parent Supplier Crosswalk,Active,Verified in ALL inventory,One parent supplier = one workspace
CARVICO,CARVICO,Carvico-Italy,1,1,0,supplier-detail.html?supplier=CARVICO,Connected via Parent Supplier Crosswalk,Active,Verified in ALL inventory,One parent supplier = one workspace
