Version ID,Primary Product ID,Primary Product ID Type,GTIN,UPC,SKU,Model Number,Serial Number,Registered Number,Alternate Identifier,Certificate Type,Product Name (Model),Trade/Brand Name,Product/Model Description,Product/Model Color,Product/Model Style,Manufacturer GLN,Manufacturer Alternate ID,Small Batch Manufacturer CPSC ID,Manufacturer Name,Manufacturer Address Line 1,Manufacturer Address Line 2,Manufacturer Apt/Suite Number,Manufacturer City,Manufacturer State/Province,Manufacturer Country,Manufacturer Zip/Postal Code,Manufacturer Phone,Manufacturer Email,Manufacture Date,Production Start Date,Production End Date,Lot Number,Lot Number Assigned By,Lab 1 Type,Lab 1 CPSC-ID,Lab 1 Alternate ID,Lab 1 GLN,Lab 1 Name,Lab 1 Address Line 1,Lab 1 Address Line 2,Lab 1 Apt/Suite Number,Lab 1 City,Lab 1 State/Province,Lab 1 Country,Lab 1 Zip/Postal Code,Lab 1 Phone,Lab 1 Email,Lab 1 Citation Codes,Lab 1 Test Report ID,Lab 1 Test URL,Lab 1 Test Report Access Key,Lab 1 Is Component?,Lab 1 Component Description,Last Test Date,Testing Exclusions,Point of Contact (POC) for Test Result Records,POC Alternate ID,POC GLN,POC Name,POC Address Line 1,POC Address Line 2,POC Apt/Suite Number,POC City,POC State/Province,POC Country,POC Zip/Postal Code,POC Phone,POC Email
F4ABADA2,V1260,Model #,,,,V1260,,,,GCC,S/L POWER MOVES TECH TANK,VUORI,,,,,ECL000,,Eclat Textile Co Ltd(Vietnam),Lot 1Road 5A Nhon Trach 2 Industrial Zone Nhon Trach District,,,Nhon Trach,Dong Nai,Viet Nam,71000,84613560751,david.hsu@eclat.com.tw,May-26,,,,,ITL,1316,,,SGS Taiwan Textile Laboratory,No 31 Wu Chyuan Rd,,,New Taipei City,,Taiwan,,,,1610,TX80828/2026/TY,www.sgs.com,,TRUE,RT2512170,8/17/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
41F8794D,V1260-JD,Model #,,,,V1260-JD,,,,GCC,S/L POWER MOVES TECH TANK,VUORI,,,,,ECL000,,Eclat Textile Co Ltd(Vietnam),Lot 1Road 5A Nhon Trach 2 Industrial Zone Nhon Trach District,,,Nhon Trach,Dong Nai,Viet Nam,71000,84613560751,david.hsu@eclat.com.tw,May-26,,,,,ITL,1316,,,SGS Taiwan Textile Laboratory,No 31 Wu Chyuan Rd,,,New Taipei City,,Taiwan,,,,1610,TX80828/2026/TY,www.sgs.com,,TRUE,RT2512170,8/17/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
A1A9CC61,V1262,Model #,,,,V1262,,,,GCC,S/S POWER MOVES TECH TEE,VUORI,,,,,ECL000,,Eclat Textile Co Ltd(Vietnam),Lot 1Road 5A Nhon Trach 2 Industrial Zone Nhon Trach District,,,Nhon Trach,Dong Nai,Viet Nam,71000,84613560751,david.hsu@eclat.com.tw,May-26,,,,,ITL,1316,,,SGS Taiwan Textile Laboratory,No 31 Wu Chyuan Rd,,,New Taipei City,,Taiwan,,,,1610,TX80828/2026/TY,www.sgs.com,,TRUE,RT2512170,8/17/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
E79D6FFA,V1263,Model #,,,,V1263,,,,GCC,L/S POWER MOVES TECH TEE,VUORI,,,,,ECL000,,Eclat Textile Co Ltd(Vietnam),Lot 1Road 5A Nhon Trach 2 Industrial Zone Nhon Trach District,,,Nhon Trach,Dong Nai,Viet Nam,71000,84613560751,david.hsu@eclat.com.tw,May-26,,,,,ITL,1316,,,SGS Taiwan Textile Laboratory,No 31 Wu Chyuan Rd,,,New Taipei City,,Taiwan,,,,1610,TX80828/2026/TY,www.sgs.com,,TRUE,RT2512170,8/17/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
88B3D5A2,VW4535,Model #,,,,VW4535,,,,GCC,VUORI ALLTHEFEELS POWER M LEGG,VUORI,,,,,ECL001-1,,E-Top,Lot Ix-1 Ix-2 Ix-3 Ix-4 My Xuan B1 Tien Hung Industrial Zone My Xuan Ward Phu My Town Ba Ria,,,Phu My,Vung Tau,Viet Nam,795650,84613560751,david.hsu@eclat.com.tw,May-26,,,,,ITL,1316,,,SGS Taiwan Textile Laboratory,No 31 Wu Chyuan Rd,,,New Taipei City,,Taiwan,,,,1610,TX20640/2026/LI,www.sgs.com,,TRUE,KP0212RJA3,2/11/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
6D46789A,VW4577,Model #,,,,VW4577,,,,GCC,VUORI ALLTHEFEELS POWER M WIDE,VUORI,,,,,ECL001-1,,E-Top,Lot Ix-1 Ix-2 Ix-3 Ix-4 My Xuan B1 Tien Hung Industrial Zone My Xuan Ward Phu My Town Ba Ria,,,Phu My,Vung Tau,Viet Nam,795650,84613560751,david.hsu@eclat.com.tw,May-26,,,,,ITL,1316,,,SGS Taiwan Textile Laboratory,No 31 Wu Chyuan Rd,,,New Taipei City,,Taiwan,,,,1610,TX20640/2026/LI,www.sgs.com,,TRUE,KP0212RJA3,2/11/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
C136108B,V1205,Model #,,,,V1205,,,,GCC,S/S MANHATTAN BUTTON DOWN,VUORI,,,,,ASMVN002,,Thai Ha Garment Factory,Land lot No 506 Map sheet No 3 Gia Le Industrial Park Tra Ly Ward,,,Hung Yen,Hung Yen,Viet Nam,,84869364200,jessi.bui@vn.asmaragroup.com,May-26,,,,,ITL,1023,,,SGS-CSTC Standards Technical Services (Shanghai) Co Ltd,No 889 Yishan Road xuhui district,,,Shanghai,,China,,,,1610,SL52605284141601TX,www.sgs.com,,TRUE,E237JSY,3/2/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
94E285FC,V1227,Model #,,,,V1227,,,,GCC,S/S PONTO PERFORMANCE POLO 2.0,VUORI,,,,,ECL000,,Eclat Textile Co Ltd(Vietnam),Lot 1Road 5A Nhon Trach 2 Industrial Zone Nhon Trach District,,,Nhon Trach,Dong Nai,Viet Nam,71000,84613560751,david.hsu@eclat.com.tw,May-26,,,,,ITL,1316,,,SGS Taiwan Textile Laboratory,No 31 Wu Chyuan Rd,,,New Taipei City,,Taiwan,,,,1610,TX33405/2026/YW,www.sgs.com,,TRUE,RT2310126,4/7/2026,,Importer,,,,,,,,,,,,
EAF3D43B,V1229,Model #,,,,V1229,,,,GCC,L/S LOMA PIQUE POLO,VUORI,,,,,FEAV01,,Far Eastern Apparel LTD,No 46 Dai Lo Tu Do Viet Nam Singapore Industrial Park,,,Binh Hoa Ward Thuan An,Binh Duong,Vietnam,,84901553872,jeffrey.lin@feavn.com.vn,May-26,,,,,ITL,1044,,,SGS Korea Co Ltd Anyang Branch,#322 The O Valley Bldg,,,Anyang,Gyeonggi-do,South Korea,,,,1610,F690101/LF-CTSAYSA26-07148 ,www.sgs.com,,TRUE,K-3831 (F0929 LOMA PIQUE),5/21/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
B82F8F6F,V1241,Model #,,,,V1241,,,,GCC,L/S LOMA PIQUE TEE,VUORI,,,,,FEAV01,,Far Eastern Apparel LTD,No 46 Dai Lo Tu Do Viet Nam Singapore Industrial Park,,,Binh Hoa Ward Thuan An,Binh Duong,Vietnam,,84901553872,jeffrey.lin@feavn.com.vn,May-26,,,,,ITL,1044,,,SGS Korea Co Ltd Anyang Branch,#322 The O Valley Bldg,,,Anyang,Gyeonggi-do,South Korea,,,,1610,F690101/LF-CTSAYSA26-07148 ,www.sgs.com,,TRUE,K-3831 (F0929 LOMA PIQUE),5/21/2026,1610.1(d)(1),Importer,,,,,,,,,,,,
