Entry Number,Entry Date,Arrival Date,Broker Ref. No.,Part Number,Primary HTS,CPSC Commercial Description,CPSC Certifier ID,CPSC Product ID Number,CPSC Product ID Version Number,CPSC Intended Use,CPSC Intended Use Description
CHQ-2222420-0,3/4/2026,,3738970,V314,6203439030,V314 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V314,663CDC6F,,
CHQ-2222255-0,3/5/2026,,3763727,V1101,6105100010,"V1101 - CA, US KNIT MEN COTTON SHIRT",VUORI,V1101,6B127887,,
CHQ-2223150-2,3/5/2026,,3739052,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2223749-1,3/6/2026,,3667645,V1118,6109901007,V1118 - US KNIT MEN MAN-MADE T-SHIRT,VUORI,V1118,9FB234FA,,
CHQ-2222435-8,3/8/2026,,3763795,V3078,6203439030,V3078 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3078,3E27DC11,,
CHQ-2223783-0,3/8/2026,,3763836,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2223822-6,3/9/2026,,3763301,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2223361-5,3/9/2026,,3763709,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2223361-5,3/9/2026,,3763709,V3078,6203439030,V3078 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3078,3E27DC11,,
CHQ-2223810-1,3/10/2026,,3672424,V1101,6105100010,"V1101 - CA, US KNIT MEN COTTON SHIRT",VUORI,V1101,6B127887,,
CHQ-2223810-1,3/10/2026,,3672424,V1106,6105100010,"V1106 - US, CA KNIT MEN COTTON BUTTON DOWN SHIRTS, POLOS",VUORI,V1106,A3283FBA,,
CHQ-2223811-9,3/10/2026,,3691491,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2223811-9,3/10/2026,,3691491,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2223811-9,3/10/2026,,3691491,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2223811-9,3/10/2026,,3691491,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2223811-9,3/10/2026,,3691491,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2223811-9,3/10/2026,,3691491,V3092,6203439030,V3092 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3092,47C2CB60,,
CHQ-2223811-9,3/10/2026,,3691491,V330,6203439030,V330 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V330,5A975DF3,,
CHQ-2223811-9,3/10/2026,,3691491,V330,6203439030,V330 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V330,5A975DF3,,
CHQ-2223849-9,3/11/2026,,3763814,V1106,6105100010,"V1106 - US, CA KNIT MEN COTTON BUTTON DOWN SHIRTS, POLOS",VUORI,V1106,A3283FBA,,
CHQ-2223849-9,3/11/2026,,3763814,V3078,6203439030,V3078 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3078,3E27DC11,,
CHQ-2225645-9,3/13/2026,,3676821,V4037,6203424511,V4037 - US WOVEN MEN COTTON BLUE DENIM,VUORI,V4037,E1D196FD,,
CHQ-2226076-6,3/15/2026,,3726561,V3078,6203439030,V3078 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3078,3E27DC11,,
CHQ-2226070-9,3/15/2026,,3700892,V314,6203439030,V314 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V314,663CDC6F,,
CHQ-2243259-7,4/17/2026,4/17/2026,3825087,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2247372-4,4/27/2026,4/27/2026,3777413,V314,6203439030,V314 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V314,663CDC6F,,
CHQ-2247372-4,4/27/2026,4/27/2026,3777413,V314,6203439030,V314 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V314,663CDC6F,,
CHQ-2248912-6,4/29/2026,4/29/2026,3826731,V3092,6203439030,V3092 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3092,47C2CB60,,
CHQ-2247372-4,4/27/2026,4/27/2026,3777413,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2248266-7,4/28/2026,4/28/2026,3825024,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2248266-7,4/28/2026,4/28/2026,3825024,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2248266-7,4/28/2026,4/28/2026,3825024,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2248266-7,4/28/2026,4/28/2026,3825024,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2248912-6,4/29/2026,4/29/2026,3826731,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2247372-4,4/27/2026,4/27/2026,3777413,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2252257-9,5/5/2026,5/5/2026,3789906,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2252257-9,5/5/2026,5/5/2026,3789906,V3070,6203439030,V3070 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3070,267B5B80,,
CHQ-2252257-9,5/5/2026,5/5/2026,3789906,V3072,6203439030,V3072 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3072,6415401B,,
CHQ-2252257-9,5/5/2026,5/5/2026,3789906,V3078,6203439030,V3078 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3078,3E27DC11,,
CHQ-2252257-9,5/5/2026,5/5/2026,3789906,V3078,6203439030,V3078 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3078,3E27DC11,,
CHQ-2252257-9,5/5/2026,5/5/2026,3789906,V314,6203439030,V314 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V314,663CDC6F,,
CHQ-2252257-9,5/5/2026,5/5/2026,3789906,V314,6203439030,V314 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V314,663CDC6F,,
CHQ-2257647-6,5/19/2026,5/19/2026,3832005,V3092,6203439030,V3092 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V3092,D66B9446,,
CHQ-2257647-6,5/19/2026,5/19/2026,3832005,V314,6203439030,V314 - US WOVEN MEN SYNTHETIC SHORTS,VUORI,V314,96069F9C,,
CHQ-2257647-6,5/19/2026,5/19/2026,3832005,V1101,6105100010,"V1101 - CA, US KNIT MEN COTTON SHIRT",VUORI,V1101,3AC659C1,,
CHQ-2257647-6,5/19/2026,5/19/2026,3832005,V1101,6105100010,"V1101 - CA, US KNIT MEN COTTON SHIRT",VUORI,V1101,3AC659C1,,
CHQ-2257647-6,5/19/2026,5/19/2026,3832005,V1101,6105100010,"V1101 - CA, US KNIT MEN COTTON SHIRT",VUORI,V1101,3AC659C1,,
CHQ-2260146-4,5/25/2026,5/25/2026,3836773,V4037,6203424511,V4037 - US WOVEN MEN COTTON BLUE DENIM,VUORI,V4037,2188C6A5,,
